FirstName,Name,LastName,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
Киселева,Софья,Ивановна,0,1,1,0,1,0,1,1,0,0,1,2,2,1,2,2,4,4
Орлова,Ярослава,Петровна,0,1,0,0,1,1,1,0,1,1,1,1,3,1,1,3,0,1
Зимина,Василиса,Фёдоровна,1,0,1,1,1,0,0,0,1,1,1,2,3,1,0,0,4,4
Колесников,Константин,Владиславович,0,0,0,0,1,1,1,0,0,0,0,2,2,1,1,2,0,1
Князева,Виктория,Макаровна,1,0,0,1,0,0,1,0,0,0,0,1,3,2,2,2,0,2
Старостина,Анастасия,Олеговна,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4
Орлова,Александра,Артемьевна,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,2,4,2
Артамонов,Максим,Матвеевич,0,1,0,1,0,1,0,1,1,0,1,1,1,2,0,3,4,2
Булгакова,Екатерина,Романовна,0,0,1,1,1,0,0,1,0,0,0,2,1,2,2,2,1,4
Семенова,Виктория,Макаровна,1,0,1,0,0,1,1,1,0,0,0,2,2,1,2,0,4,3
