FirstName,Name,LastName,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
Киселева,Софья,Ивановна,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,4
Орлова,Ярослава,Петровна,1,0,0,1,1,1,0,1,1,1,1,0,0,2,0,1,2,1
Зимина,Василиса,Фёдоровна,1,1,0,1,0,1,1,0,0,0,0,2,3,1,2,1,1,3
Колесников,Константин,Владиславович,0,0,0,1,0,1,0,0,1,0,0,1,3,2,2,3,1,0
Князева,Виктория,Макаровна,0,0,1,1,0,0,1,1,0,1,1,2,3,1,2,3,0,4
Старостина,Анастасия,Олеговна,1,1,1,0,0,1,1,0,1,1,0,2,3,1,1,0,1,4
Орлова,Александра,Артемьевна,0,0,1,0,1,1,1,1,0,1,0,2,2,1,0,0,2,1
Артамонов,Максим,Матвеевич,0,0,0,1,1,0,1,1,1,0,0,1,3,1,2,2,4,3
Булгакова,Екатерина,Романовна,0,0,0,1,0,0,1,1,1,1,1,0,3,0,2,3,3,4
Семенова,Виктория,Макаровна,1,0,1,0,0,0,0,0,1,1,1,2,0,1,1,3,2,2

