FirstName,Name,LastName,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
Киселева,Софья,Ивановна,1,1,1,1,1,0,1,0,0,0,0,0,2,0,1,0,2,0
Орлова,Ярослава,Петровна,1,0,1,1,0,1,0,1,1,1,0,1,2,1,2,0,0,4
Зимина,Василиса,Фёдоровна,1,0,0,1,1,0,0,0,0,1,0,0,3,2,0,1,1,1
Колесников,Константин,Владиславович,1,1,1,1,0,1,1,0,1,0,0,2,0,0,1,3,2,2
Князева,Виктория,Макаровна,1,1,0,1,0,0,1,1,0,0,0,1,0,2,0,2,4,0
Старостина,Анастасия,Олеговна,0,1,0,1,0,1,1,1,1,0,1,2,3,2,0,1,3,0
Орлова,Александра,Артемьевна,1,0,1,0,0,1,0,0,0,0,1,1,0,2,1,3,4,1
Артамонов,Максим,Матвеевич,1,1,0,1,0,0,0,1,0,1,0,1,0,0,2,0,3,2
Булгакова,Екатерина,Романовна,1,1,1,0,1,1,0,1,1,1,0,0,0,0,2,0,2,4
Семенова,Виктория,Макаровна,1,1,1,0,0,0,0,1,1,1,1,0,2,0,2,3,4,0
